Total Resident Memory on Device,Value
,460.703

Allocated Memory Breakdown
Category,Allocated(MB),Resident(MB)
"Android Runtime",1183.531,9.750
"Executables & Mapped",785.137,226.391
"Graphics (Estimated)",445.314,
"Native",235.321,100.884
"Untracked*",140.596,
"Managed",50.862,50.464

Managed Memory Breakdown
Category,Allocated(MB),Resident(MB)
"Virtual Machine",44.874,44.710
"Empty Heap Space",4.185,3.951
"Objects",1.803,1.803
